============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Dec 08 2022  01:56:14 pm
  Module:                 uart_top
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================


 	 External Delays & Exceptions
	 ---------------------------- 
                                           Rise      Fall                  Ext Delay                Exception  
            Port             Dir  Clock   Delay     Delay                   Object                 Object/Type 
---------------------------------------------------------------------------------------------------------------
 clk_a                       in   clk_a       0.0  no_value  create_clock_delay_domain_1_clk_a_R_0         N/A 
                                  clk_a  no_value       0.0  create_clock_delay_domain_1_clk_a_F_0             
 reset_a                     in   N/A         N/A       N/A  N/A                                           N/A 
 tx_parallel_data_in_a[31]   in   clk_a    6000.0    6000.0  in_del_277_1                                  N/A 
 tx_parallel_data_in_a[30]   in   clk_a    6000.0    6000.0  in_del_278_1                                  N/A 
 tx_parallel_data_in_a[29]   in   clk_a    6000.0    6000.0  in_del_279_1                                  N/A 
 tx_parallel_data_in_a[28]   in   clk_a    6000.0    6000.0  in_del_280_1                                  N/A 
 tx_parallel_data_in_a[27]   in   clk_a    6000.0    6000.0  in_del_281_1                                  N/A 
 tx_parallel_data_in_a[26]   in   clk_a    6000.0    6000.0  in_del_282_1                                  N/A 
 tx_parallel_data_in_a[25]   in   clk_a    6000.0    6000.0  in_del_283_1                                  N/A 
 tx_parallel_data_in_a[24]   in   clk_a    6000.0    6000.0  in_del_284_1                                  N/A 
 tx_parallel_data_in_a[23]   in   clk_a    6000.0    6000.0  in_del_285_1                                  N/A 
 tx_parallel_data_in_a[22]   in   clk_a    6000.0    6000.0  in_del_286_1                                  N/A 
 tx_parallel_data_in_a[21]   in   clk_a    6000.0    6000.0  in_del_287_1                                  N/A 
 tx_parallel_data_in_a[20]   in   clk_a    6000.0    6000.0  in_del_288_1                                  N/A 
 tx_parallel_data_in_a[19]   in   clk_a    6000.0    6000.0  in_del_289_1                                  N/A 
 tx_parallel_data_in_a[18]   in   clk_a    6000.0    6000.0  in_del_290_1                                  N/A 
 tx_parallel_data_in_a[17]   in   clk_a    6000.0    6000.0  in_del_291_1                                  N/A 
 tx_parallel_data_in_a[16]   in   clk_a    6000.0    6000.0  in_del_292_1                                  N/A 
 tx_parallel_data_in_a[15]   in   clk_a    6000.0    6000.0  in_del_293_1                                  N/A 
