============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Dec 06 2022  02:01:47 pm
  Module:                 uart_top
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================


 	 External Delays & Exceptions
	 ---------------------------- 
                                           Rise      Fall                  Ext Delay                Exception  
            Port             Dir  Clock   Delay     Delay                   Object                 Object/Type 
---------------------------------------------------------------------------------------------------------------
 clk_a                       in   clk_a       0.0  no_value  create_clock_delay_domain_1_clk_a_R_0         N/A 
                                  clk_a  no_value       0.0  create_clock_delay_domain_1_clk_a_F_0             
 reset_a                     in   N/A         N/A       N/A  N/A                                           N/A 
 tx_parallel_data_in_a[31]   in   clk_a    6000.0    6000.0  in_del                                        N/A 
 tx_parallel_data_in_a[30]   in   clk_a    6000.0    6000.0  in_del_1_1                                    N/A 
 tx_parallel_data_in_a[29]   in   clk_a    6000.0    6000.0  in_del_2_1                                    N/A 
 tx_parallel_data_in_a[28]   in   clk_a    6000.0    6000.0  in_del_3_1                                    N/A 
 tx_parallel_data_in_a[27]   in   clk_a    6000.0    6000.0  in_del_4_1                                    N/A 
 tx_parallel_data_in_a[26]   in   clk_a    6000.0    6000.0  in_del_5_1                                    N/A 
 tx_parallel_data_in_a[25]   in   clk_a    6000.0    6000.0  in_del_6_1                                    N/A 
 tx_parallel_data_in_a[24]   in   clk_a    6000.0    6000.0  in_del_7_1                                    N/A 
 tx_parallel_data_in_a[23]   in   clk_a    6000.0    6000.0  in_del_8_1                                    N/A 
 tx_parallel_data_in_a[22]   in   clk_a    6000.0    6000.0  in_del_9_1                                    N/A 
 tx_parallel_data_in_a[21]   in   clk_a    6000.0    6000.0  in_del_10_1                                   N/A 
 tx_parallel_data_in_a[20]   in   clk_a    6000.0    6000.0  in_del_11_1                                   N/A 
 tx_parallel_data_in_a[19]   in   clk_a    6000.0    6000.0  in_del_12_1                                   N/A 
 tx_parallel_data_in_a[18]   in   clk_a    6000.0    6000.0  in_del_13_1                                   N/A 
 tx_parallel_data_in_a[17]   in   clk_a    6000.0    6000.0  in_del_14_1                                   N/A 
 tx_parallel_data_in_a[16]   in   clk_a    6000.0    6000.0  in_del_15_1                                   N/A 
 tx_parallel_data_in_a[15]   in   clk_a    6000.0    6000.0  in_del_16_1                                   N/A 
